fecha,casa,venta
2011-11-01,blue,4.72
2011-12-01,blue,4.74
2012-01-01,blue,4.78
2012-02-01,blue,4.75
2012-03-01,blue,4.82
2012-04-01,blue,5.05
2012-05-01,blue,5.55
2012-06-01,blue,5.92
2012-07-01,blue,6.32
2012-08-01,blue,6.38
2012-09-01,blue,6.33
2012-10-01,blue,6.33
2012-11-01,blue,6.40
2012-12-01,blue,6.80
2013-01-01,blue,7.52
2013-02-01,blue,7.76
2013-03-01,blue,8.27
2013-04-01,blue,8.85
2013-05-01,blue,9.50
2013-06-01,blue,8.23
2013-07-01,blue,8.55
2013-08-01,blue,9.11
2013-09-01,blue,9.44
2013-10-01,blue,9.83
2013-11-01,blue,9.80
2013-12-01,blue,9.75
2014-01-01,blue,11.50
2014-02-01,blue,11.55
2014-03-01,blue,10.90
2014-04-01,blue,10.50
2014-05-01,blue,11.45
2014-06-01,blue,11.85
2014-07-01,blue,12.35
2014-08-01,blue,13.65
2014-09-01,blue,15.10
2014-10-01,blue,14.05
2014-11-01,blue,13.35
2014-12-01,blue,13.40
2015-01-01,blue,13.55
2015-02-01,blue,13.15
2015-03-01,blue,12.85
2015-04-01,blue,12.55
2015-05-01,blue,12.65
2015-06-01,blue,13.25
2015-07-01,blue,14.25
2015-08-01,blue,15.25
2015-09-01,blue,15.80
2015-10-01,blue,15.85
2015-11-01,blue,15.10
2015-12-01,blue,14.50
